,year,ticker,yearly adjsuted close,yearly percent change,year open,year adjusted close
0,2015,MMM,-35.61840000000001,-0.21624916519944148,164.71,129.0916
1,2016,MMM,9.081199999999995,0.06133873691320496,148.05,157.1312
2,2017,MMM,33.1643,0.1854515461611586,178.83,211.9943
3,2018,MMM,-59.63489999999999,-0.2529260327423869,235.78,176.1451
4,2019,MMM,-19.177400000000006,-0.10210520711319351,187.82,168.6426
5,2020,MMM,-4.337700000000012,-0.024412989644304436,177.68,173.3423
6,2015,AOS,-21.2292,-0.37494171670787707,56.62,35.3908
7,2016,AOS,-31.203899999999997,-0.4134609778720021,75.47,44.2661
8,2017,AOS,10.192,0.21366876310272537,47.7,57.892
9,2018,AOS,-20.564500000000002,-0.33465419039869815,61.45,40.8855
10,2019,AOS,4.239899999999999,0.10044776119402982,42.21,46.4499
11,2020,AOS,6.660700000000006,0.13902525568774798,47.91,54.5707
12,2015,ABT,-4.681899999999999,-0.1034674033149171,45.25,40.5681
13,2016,ABT,-8.368199999999995,-0.19044606281292661,43.94,35.5718
14,2017,ABT,15.4375,0.399589474392624,38.6334,54.0709
15,2018,ABT,11.5715,0.1988230240549828,58.2,69.7715
16,2019,ABT,14.798900000000003,0.21024151157834925,70.39,85.1889
17,2020,ABT,22.984099999999998,0.26707064838484773,86.06,109.0441
18,2015,ABBV,-18.681500000000007,-0.2846921670222494,65.62,46.9385
19,2016,ABBV,-6.484999999999999,-0.11169479848432655,58.06,51.575
20,2017,ABBV,19.6665,0.3125635727908455,62.92,82.5865
21,2018,ABBV,-15.363,-0.15815318097591105,97.14,81.777
22,2019,ABBV,-8.239999999999995,-0.09031126698816304,91.24,83.0
23,2020,ABBV,16.8365,0.1890042658284688,89.08,105.9165
24,2015,ABMD,52.01,1.359027959237,38.27,90.28
25,2016,ABMD,23.88000000000001,0.26891891891891906,88.8,112.68
26,2017,ABMD,74.85,0.6649786780383795,112.56,187.41
27,2018,ABMD,136.91000000000003,0.7277414553766014,188.13,325.04
28,2019,ABMD,-145.35,-0.4600557067797683,315.94,170.59
29,2020,ABMD,151.69,0.8793113442698974,172.51,324.2
30,2015,ACN,5.8506,0.06524590163934427,89.67,95.5206
31,2016,ACN,6.589299999999994,0.06421068017930222,102.62,109.2093
32,2017,ACN,28.2414,0.24059805759073097,117.38,145.6214
33,2018,ACN,-16.923699999999997,-0.11025211726384362,153.5,136.5763
34,2019,ACN,67.5831,0.4864543295184625,138.93,206.5131
35,2020,ACN,49.45889999999997,0.23455800056909784,210.86,260.3189
36,2015,ATVI,17.184900000000003,0.8490563241106721,20.24,37.4249
37,2016,ATVI,-2.8563999999999936,-0.0750696452036792,38.05,35.1936
38,2017,ATVI,25.645200000000003,0.7037650933040616,36.44,62.0852
39,2018,ATVI,-17.642899999999997,-0.2776660371419578,63.54,45.8971
40,2019,ATVI,13.787500000000001,0.3046961325966851,45.25,59.0375
41,2020,ATVI,32.94,0.5498247371056585,59.91,92.85
42,2015,ADBE,21.239999999999995,0.292159559834938,72.7,93.94
43,2016,ADBE,11.180000000000007,0.12182630489266653,91.77,102.95
44,2017,ADBE,71.81,0.6942859905249927,103.43,175.24
45,2018,ADBE,50.390000000000015,0.2865510378163208,175.85,226.24
46,2019,ADBE,109.9,0.4997498976854168,219.91,329.81
47,2020,ADBE,170.12,0.5155151515151515,330.0,500.12
48,2015,AAP,-12.759600000000006,-0.07932608019894316,160.85,148.0904
49,2016,AAP,17.404899999999998,0.11661574539363483,149.25,166.6549
50,2017,AAP,-72.3331,-0.4235454971308116,170.78,98.4469
51,2018,AAP,54.86329999999998,0.5437393458870167,100.9,155.7633
52,2019,AAP,2.5156000000000063,0.016109118852459057,156.16,158.6756
53,2020,AAP,-3.1740000000000066,-0.019779398018321223,160.47,157.296
54,2015,AMD,0.16999999999999993,0.06296296296296293,2.7,2.87
55,2016,AMD,8.57,3.0938628158844765,2.77,11.34
56,2017,AMD,-1.1400000000000006,-0.09982486865148867,11.42,10.28
57,2018,AMD,8.040000000000001,0.7715930902111325,10.42,18.46
58,2019,AMD,27.849999999999998,1.5463631315935589,18.01,45.86
59,2020,AMD,44.849999999999994,0.9571062740076823,46.86,91.71
60,2015,AES,-5.9925,-0.43235930735930733,13.86,7.8675
61,2016,AES,0.49960000000000093,0.052923728813559424,9.44,9.9396
62,2017,AES,-1.998099999999999,-0.17121679520137095,11.67,9.6719
63,2018,AES,2.5730000000000004,0.2367065317387305,10.87,13.443
64,2019,AES,4.837900000000001,0.3390259285213736,14.27,19.1079
65,2020,AES,3.386800000000001,0.16959439158738113,19.97,23.3568
66,2015,AFL,-35.0929,-0.5706162601626016,61.5,26.4071
67,2016,AFL,-27.3353,-0.4649651301241708,58.79,31.4547
68,2017,AFL,-29.514500000000005,-0.42109430731916114,70.09,40.5755
69,2018,AFL,-45.265,-0.5122793119058398,88.36,43.095
70,2019,AFL,6.502299999999998,0.14582417582417578,44.59,51.0923
71,2020,AFL,-8.8844,-0.16750377073906486,53.04,44.1556
72,2015,A,-1.2256,-0.029762020398251578,41.18,39.9544
73,2016,A,2.9491999999999976,0.07182659522649774,41.06,44.0092
74,2017,A,19.344600000000007,0.4211757021554541,45.93,65.2746
75,2018,A,-1.053200000000004,-0.015621477306437316,67.42,66.3668
76,2019,A,18.137699999999995,0.27274736842105257,66.5,84.6377
77,2020,A,32.39659999999999,0.3771431897555296,85.9,118.2966
78,2015,APD,-28.618999999999986,-0.19958853476532526,143.39,114.771
79,2016,APD,1.7694999999999936,0.013801575540129424,128.21,129.9795
